<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.ShortcutEnvironment'>+0.1+0.1+9,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+0,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+1,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+2,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+3,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+4,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+5,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+6,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+7,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+8,<class 'ShortCutEnvironment.WindyShortcutEnvironment'>+0.1+0.1+9,"NoWind,0.1,0.1,mean","NoWind,0.1,0.1,std","NoWind,0.1,0.1,min","NoWind,0.1,0.1,max","Windy,0.1,0.1,mean","Windy,0.1,0.1,std","Windy,0.1,0.1,min","Windy,0.1,0.1,max"
37051415000.0,134646695200.0,22188295000.0,134761820500.0,21955716200.0,135218620600.0,22669333900.0,135362438800.0,23235932200.0,137703137500.0,22521091400.0,135037891700.0,22862653400.0,175563048400.0,22351027000.0,262355503900.0,148757892700.0,262497129400.0,148415926500.0,262432717700.0,80.47934049,58.206000182239386,21.9557162,137.7031375,146.27948821,98.5294546504558,22.351027,262.4971294
36615780600.0,134543342300.0,21301608900.0,135038937400.0,21285763900.0,134924701600.0,21732747800.0,135861450200.0,22113282000.0,137983783500.0,22379689000.0,135205964300.0,22809016900.0,162259687400.0,21294598300.0,262534744400.0,148757603900.0,262662379400.0,148700972700.0,262224081000.0,80.14013982,58.712487761395316,21.2857639,137.9837835,144.88287373,98.3707498354961,21.2945983,262.6623794
37074295900.0,134663904000.0,21714849400.0,135215253200.0,22800462800.0,135087760400.0,22824189200.0,135891544000.0,21949088700.0,137673269300.0,22973728600.0,134857537900.0,22733511800.0,134741173300.0,21987547100.0,262469587200.0,148990468200.0,262653401100.0,148769875600.0,262378574000.0,80.48946169,58.37593343491734,21.7148494,137.6732693,142.25554048,98.06667416681785,21.9875471,262.6534011
36921278700.0,134826630500.0,22301170100.0,135161196700.0,22213813300.0,135214617600.0,22822461100.0,135714964900.0,23343488900.0,137906293600.0,21601326000.0,135296075300.0,22818714600.0,134902060900.0,22227018400.0,262369797800.0,148296843700.0,262916085400.0,148545060300.0,262549954900.0,80.64259154,58.26562138858708,22.2138133,137.9062936,142.15229373,98.24292207252554,21.601326,262.9160854
36496398600.0,134870603600.0,20961859500.0,134862625000.0,22327789700.0,134465403200.0,21802109900.0,137806052200.0,21702403100.0,137874493300.0,22038701700.0,135242568700.0,21614421300.0,134879440700.0,24158944700.0,262469843300.0,148724230400.0,262935932200.0,148428690100.0,262597161300.0,80.31697381,58.84718085812321,20.9618595,137.8744933,142.30899344,98.11219593593088,21.6144213,262.9359322
36514280200.0,134853542300.0,21887146400.0,135167019300.0,22824211900.0,134591578300.0,22922243500.0,138038004200.0,22782057200.0,137752927500.0,22739505500.0,135093740100.0,22711077000.0,134851681000.0,22742327700.0,262400223300.0,148663646200.0,262618870500.0,148504868400.0,262836146800.0,80.73330108,58.49969648016445,21.8871464,138.0380042,142.31620865,98.03985452126898,22.711077,262.8361468
36639418100.0,134857837400.0,22400049700.0,135086591600.0,21149668300.0,134846894600.0,22922805000.0,137872525700.0,23011052800.0,137851811200.0,22405355200.0,135338135000.0,22858839600.0,135227445000.0,21888086400.0,262179295500.0,148652257800.0,262614512400.0,148726827500.0,262478804400.0,80.66386544,58.604657601089464,21.1496683,137.8725257,142.23695588,98.09837587320082,21.8880864,262.6145124
40108586200.0,135018696900.0,21296334500.0,135024282600.0,22403595800.0,135002718600.0,22902391800.0,137722203700.0,21762984800.0,137814411600.0,22794426400.0,134980023200.0,22900452000.0,135088446900.0,21789610700.0,262638712500.0,148734386700.0,262379764900.0,148563477200.0,262505243100.0,80.90562065,58.45479075040737,21.2963345,137.8144116,142.23745436,98.09101565177437,21.7896107,262.6387125
36519284200.0,135047300600.0,22277829700.0,134741164600.0,22179559200.0,134925492600.0,23301132100.0,138024915400.0,23210880100.0,137715613400.0,22278978300.0,135106534100.0,23187042400.0,135114827200.0,22955514600.0,262229497800.0,148343089400.0,262811252600.0,178239949500.0,262357919300.0,80.79431719,58.443395508325395,22.1795592,138.0249154,145.26246052,98.60122197913185,22.2789783,262.8112526
36783542900.0,134469715300.0,21772205500.0,135057258900.0,21139476300.0,134864410600.0,21888315800.0,137740356500.0,22990224100.0,137516498100.0,21660541600.0,135185181700.0,22099756400.0,134675252200.0,22422038300.0,262461664900.0,148766593900.0,262724835800.0,148816602300.0,262208595400.0,80.4222004,58.6879230801593,21.1394763,137.7403565,142.10210625,98.25386052182813,21.6605416,262.7248358
36507871700.0,134760306300.0,21216978400.0,134831186900.0,22952899200.0,135010355700.0,22586782300.0,137908319200.0,22714177100.0,137839408100.0,22807714800.0,135218559400.0,22691513000.0,135108203600.0,22550056600.0,262266444600.0,148716263700.0,262602481200.0,148574836800.0,262450787700.0,80.63282849,58.59975247795259,21.2169784,137.9083192,142.29868614,97.98407050962976,22.5500566,262.6024812
36424544000.0,135042421300.0,22531121200.0,134817381000.0,21738342000.0,135093793800.0,22551425400.0,138105009400.0,23067720600.0,137876260800.0,24862891100.0,135098915500.0,22979165500.0,135041417600.0,22447559600.0,262446056700.0,148714844400.0,262254982100.0,148442576200.0,262392381500.0,80.72480195,58.62126668590188,21.738342,138.1050094,142.46807902,97.6519544833862,22.4475596,262.4460567
42339305100.0,134966035100.0,21745390500.0,134526687100.0,21658976100.0,183800.0,22005372500.0,137877910600.0,21820711500.0,137679744000.0,24682539300.0,135167798400.0,21851109600.0,134944389700.0,21465705400.0,262875371000.0,148581351300.0,262132476600.0,148537322200.0,262465243800.0,67.46203163,60.0583078487381,0.0001838,137.8779106,142.27033073,98.01586120581075,21.4657054,262.875371
22431471800.0,134880622900.0,22292063800.0,134950757100.0,22841873300.0,134897589700.0,22980708400.0,137770422400.0,22753538400.0,137754375500.0,22421137500.0,135298954300.0,22983450200.0,134966544300.0,22884970100.0,261960210200.0,148610578400.0,262216393900.0,148658957800.0,262355191100.0,79.35534233,59.771599867882344,22.2920638,137.7704224,142.23563878,97.84460410456359,22.4211375,262.3551911
